filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
breaststroke_frame_0.jpg,137643,"{}",0,0,"{}","{}"
breaststroke_frame_1.jpg,139175,"{}",0,0,"{}","{}"
breaststroke_frame_2.jpg,138820,"{}",0,0,"{}","{}"
breaststroke_frame_3.jpg,141682,"{}",0,0,"{}","{}"
breaststroke_frame_4.jpg,139982,"{}",0,0,"{}","{}"
breaststroke_frame_5.jpg,140776,"{}",0,0,"{}","{}"
breaststroke_frame_6.jpg,138623,"{}",0,0,"{}","{}"
breaststroke_frame_7.jpg,144549,"{}",0,0,"{}","{}"
breaststroke_frame_8.jpg,138659,"{}",0,0,"{}","{}"
breaststroke_frame_9.jpg,139636,"{}",0,0,"{}","{}"
breaststroke_frame_10.jpg,137500,"{}",0,0,"{}","{}"
breaststroke_frame_11.jpg,140002,"{}",0,0,"{}","{}"
breaststroke_frame_12.jpg,138317,"{}",0,0,"{}","{}"
breaststroke_frame_13.jpg,141103,"{}",0,0,"{}","{}"
breaststroke_frame_14.jpg,140200,"{}",0,0,"{}","{}"
breaststroke_frame_15.jpg,143235,"{}",0,0,"{}","{}"
breaststroke_frame_16.jpg,140909,"{}",0,0,"{}","{}"
breaststroke_frame_17.jpg,141465,"{}",0,0,"{}","{}"
breaststroke_frame_18.jpg,139003,"{}",0,0,"{}","{}"
breaststroke_frame_19.jpg,145535,"{}",0,0,"{}","{}"
breaststroke_frame_20.jpg,139762,"{}",0,0,"{}","{}"
breaststroke_frame_21.jpg,140689,"{}",0,0,"{}","{}"
breaststroke_frame_22.jpg,138647,"{}",0,0,"{}","{}"
breaststroke_frame_23.jpg,142313,"{}",0,0,"{}","{}"
breaststroke_frame_24.jpg,140665,"{}",0,0,"{}","{}"
breaststroke_frame_25.jpg,140864,"{}",0,0,"{}","{}"
breaststroke_frame_26.jpg,139339,"{}",0,0,"{}","{}"
breaststroke_frame_27.jpg,143976,"{}",0,0,"{}","{}"
breaststroke_frame_28.jpg,143829,"{}",0,0,"{}","{}"
breaststroke_frame_29.jpg,142052,"{}",0,0,"{}","{}"
breaststroke_frame_30.jpg,139913,"{}",2,0,"{""name"":""point"",""cx"":215,""cy"":637}","{""joint"":undefined}"
breaststroke_frame_30.jpg,139913,"{}",2,1,"{""name"":""point"",""cx"":224,""cy"":637}","{""joint"":""Rhand""}"
breaststroke_frame_31.jpg,145552,"{}",2,0,"{""name"":""point"",""cx"":215,""cy"":633}","{""joint"":undefined}"
breaststroke_frame_31.jpg,145552,"{}",2,1,"{""name"":""point"",""cx"":224,""cy"":632}","{""joint"":""Rhand""}"
breaststroke_frame_32.jpg,139621,"{}",2,0,"{""name"":""point"",""cx"":215,""cy"":633}","{""joint"":undefined}"
breaststroke_frame_32.jpg,139621,"{}",2,1,"{""name"":""point"",""cx"":224,""cy"":632}","{""joint"":""Rhand""}"
